,equity
2024-07-16,117570.41783778582
2024-07-17,118717.00803778582
2024-07-18,118717.00803778582
2024-07-19,117987.09752350012
2024-07-22,118950.57752350012
2024-07-23,119573.18180921441
2024-07-24,119572.35823778584
2024-07-25,120933.57608778586
2024-07-26,121488.0263663573
2024-07-29,120696.31208064301
2024-07-30,121511.951080643
2024-07-31,121511.951080643
2024-08-01,122831.918480643
2024-08-02,123913.433680643
2024-08-05,120965.5331949287
2024-08-06,120538.3783449287
2024-08-07,120379.2813909287
2024-08-08,120611.20914092871
2024-08-09,121041.20354092872
2024-08-12,121041.20354092872
2024-08-13,121041.20354092872
2024-08-14,121108.80354092873
2024-08-15,121115.77109092873
2024-08-16,121115.77109092873
2024-08-19,121115.77109092873
2024-08-20,121115.77109092873
2024-08-21,121115.77109092873
2024-08-22,121115.77109092873
2024-08-23,121115.77109092873
2024-08-26,121115.77109092873
2024-08-27,121115.77109092873
2024-08-28,121115.77109092873
2024-08-29,120558.8266623573
2024-08-30,119243.44481235731
2024-09-03,119243.44481235731
2024-09-04,120473.97070521447
2024-09-05,120087.80449092877
2024-09-06,120467.20719092878
2024-09-09,120467.20719092878
2024-09-10,120467.20719092878
2024-09-11,120151.66773378591
2024-09-12,120340.58648378593
2024-09-13,120092.68648378593
2024-09-16,120573.03453378593
2024-09-17,120573.03453378593
2024-09-18,120573.03453378593
2024-09-19,120989.25348378593
2024-09-20,121395.08618378591
2024-09-23,121688.04373378592
2024-09-24,122191.8161337859
2024-09-25,122794.4744337859
2024-09-26,122173.7674337859
2024-09-27,122360.95963378591
2024-09-30,122708.09278378592
2024-10-01,122403.98421235735
2024-10-02,121863.09135521449
2024-10-03,121863.09135521449
2024-10-04,121863.09135521449
2024-10-07,121863.09135521449
2024-10-08,121069.7432195002
2024-10-09,121909.96484450021
2024-10-10,121909.96484450021
2024-10-11,122832.83557700021
2024-10-14,124995.4990270002
2024-10-15,126219.76934842879
2024-10-16,126120.63571985735
2024-10-17,126624.62571985736
2024-10-18,128077.80146985737
2024-10-21,127994.73146985736
2024-10-22,129441.78618414307
2024-10-23,129932.71533414308
2024-10-24,131409.38839128593
2024-10-25,131153.32443414305
2024-10-28,131153.32443414305
2024-10-29,132322.80030014305
2024-10-30,133047.87330014305
2024-10-31,134979.1262751431
2024-11-01,135378.61790728592
2024-11-04,135378.61790728592
2024-11-05,135656.16990728592
2024-11-06,137436.49110014306
2024-11-07,137633.06587157163
2024-11-08,138713.5580430002
2024-11-11,142034.5973287145
2024-11-12,142258.6745812145
2024-11-13,144067.6659955002
2024-11-14,144067.6659955002
2024-11-15,144814.23389550022
2024-11-18,144814.23389550022
2024-11-19,145521.1408669288
2024-11-20,146875.8608669288
2024-11-21,146875.8608669288
2024-11-22,146341.53943835737
2024-11-25,146685.33943835736
