,equity
2024-07-16,51993.93570021431
2024-07-17,52737.498900214305
2024-07-18,52737.498900214305
2024-07-19,52257.41290021431
2024-07-22,52884.33290021431
2024-07-23,53288.184328785734
2024-07-24,51509.654328785735
2024-07-25,49886.974328785735
2024-07-26,47026.054328785736
2024-07-29,46564.625757357164
2024-07-30,46269.562957357164
2024-07-31,46269.562957357164
2024-08-01,44375.52295735717
2024-08-02,41514.52295735717
2024-08-05,38925.355814500035
2024-08-06,38718.095864500036
2024-08-07,36570.22586450003
2024-08-08,34925.42586450003
2024-08-09,34406.89586450003
2024-08-12,34406.89586450003
2024-08-13,34406.89586450003
2024-08-14,33527.11586450003
2024-08-15,33530.02866450003
2024-08-16,33530.02866450003
2024-08-19,33530.02866450003
2024-08-20,33530.02866450003
2024-08-21,33530.02866450003
2024-08-22,33530.02866450003
2024-08-23,33530.02866450003
2024-08-26,33530.02866450003
2024-08-27,33530.02866450003
2024-08-28,33530.02866450003
2024-08-29,33297.17929307146
2024-08-30,31730.332078785745
2024-09-03,31730.332078785745
2024-09-04,31824.935828785743
2024-09-05,30870.519464500034
2024-09-06,30562.839464500034
2024-09-09,30562.839464500034
2024-09-10,29570.199464500034
2024-09-11,29453.12626450003
2024-09-12,28523.076264500032
2024-09-13,26402.596264500033
2024-09-16,26559.393814500036
2024-09-17,26559.393814500036
2024-09-18,26559.393814500036
2024-09-19,26697.171664500034
2024-09-20,24225.011664500034
2024-09-23,24314.031914500036
2024-09-24,24462.684814500033
2024-09-25,24645.581114500033
2024-09-26,22780.781114500034
2024-09-27,22833.940064500035
2024-09-30,22933.120964500034
2024-10-01,22847.09025021432
2024-10-02,22693.476678785748
2024-10-03,22693.476678785748
2024-10-04,22693.476678785748
2024-10-07,22693.476678785748
2024-10-08,21790.596678785747
2024-10-09,22019.247153785745
2024-10-10,22019.247153785745
2024-10-11,21728.688953285746
2024-10-14,22310.549203285744
2024-10-15,20238.869203285747
2024-10-16,20214.823431857174
2024-10-17,19391.023431857175
2024-10-18,18079.845381857172
2024-10-21,18061.12538185717
2024-10-22,17555.292381857173
2024-10-23,14259.512381857172
2024-10-24,12184.932381857172
2024-10-25,10006.522381857172
2024-10-28,10006.522381857172
2024-10-29,7559.762381857172
2024-10-30,6707.2423818571715
2024-10-31,5953.062381857171
2024-11-01,4511.623810428599
2024-11-04,4511.623810428599
2024-11-05,4320.5438104285995
2024-11-06,3234.483810428599
2024-11-07,2884.963810428599
2024-11-08,2372.1438104285994
2024-11-11,2798.2838104285993
2024-11-12,2805.5223814285996
2024-11-13,2665.2623814286
2024-11-14,2665.2623814286
2024-11-15,2694.163413571457
2024-11-18,2694.163413571457
2024-11-19,2420.803413571457
2024-11-20,2459.3291278571714
2024-11-21,2459.3291278571714
2024-11-22,1928.9291278571714
2024-11-25,1789.5291278571713
2024-11-26,787.1291278571713
2024-11-27,779.3031707143141
2024-11-29,779.3031707143141
2024-12-02,779.990920714314
2024-12-03,779.990920714314
